matrix,np,threads,mode,total_time,compute_time,comm_time,gflops,log
ash292,4,4,balanced,NA,NA,NA,NA,results/ash292_balanced_np4_t4.log
ash292,8,1,naive,NA,NA,NA,NA,results/ash292_naive_np8_t1.log
ash292,8,1,metis,NA,NA,NA,NA,results/ash292_metis_np8_t1.log
ash292,8,1,balanced,NA,NA,NA,NA,results/ash292_balanced_np8_t1.log
ash292,8,2,naive,NA,NA,NA,NA,results/ash292_naive_np8_t2.log
ash292,8,2,metis,NA,NA,NA,NA,results/ash292_metis_np8_t2.log
ash292,8,2,balanced,NA,NA,NA,NA,results/ash292_balanced_np8_t2.log
ash292,8,4,naive,NA,NA,NA,NA,results/ash292_naive_np8_t4.log
ash292,8,4,metis,NA,NA,NA,NA,results/ash292_metis_np8_t4.log
ash292,8,4,balanced,NA,NA,NA,NA,results/ash292_balanced_np8_t4.log
ash331,1,1,naive,0.000017,0.000013,0.000004,0.5090,results/ash331_naive_np1_t1.log
ash331,1,1,metis,NA,NA,NA,NA,results/ash331_metis_np1_t1.log
ash331,1,1,balanced,0.000048,0.000031,0.000004,0.2129,results/ash331_balanced_np1_t1.log
ash331,1,2,naive,0.000230,0.000224,0.000005,0.0296,results/ash331_naive_np1_t2.log
ash331,1,2,metis,NA,NA,NA,NA,results/ash331_metis_np1_t2.log
ash331,1,2,balanced,0.000497,0.000476,0.000004,0.0139,results/ash331_balanced_np1_t2.log
ash331,1,4,naive,0.000341,0.000336,0.000005,0.0197,results/ash331_naive_np1_t4.log
ash331,1,4,metis,NA,NA,NA,NA,results/ash331_metis_np1_t4.log
ash331,1,4,balanced,0.000891,0.000876,0.000003,0.0076,results/ash331_balanced_np1_t4.log
ash331,2,1,naive,0.000033,0.000011,0.000020,0.6004,results/ash331_naive_np2_t1.log
ash331,2,1,metis,0.000216,0.000060,0.000154,0.1100,results/ash331_metis_np2_t1.log
ash331,2,1,balanced,0.000047,0.000012,0.000019,0.5610,results/ash331_balanced_np2_t1.log
ash331,2,2,naive,0.000226,0.000204,0.000019,0.0324,results/ash331_naive_np2_t2.log
ash331,2,2,metis,0.000573,0.000176,0.000394,0.0375,results/ash331_metis_np2_t2.log
ash331,2,2,balanced,0.000212,0.000168,0.000032,0.0393,results/ash331_balanced_np2_t2.log
ash331,2,4,naive,0.000960,0.000940,0.000705,0.0070,results/ash331_naive_np2_t4.log
ash331,2,4,metis,0.001012,0.000370,0.000640,0.0179,results/ash331_metis_np2_t4.log
ash331,2,4,balanced,0.000576,0.000536,0.000034,0.0123,results/ash331_balanced_np2_t4.log
ash331,4,1,naive,NA,NA,NA,NA,results/ash331_naive_np4_t1.log
ash331,4,1,metis,NA,NA,NA,NA,results/ash331_metis_np4_t1.log
ash331,4,1,balanced,NA,NA,NA,NA,results/ash331_balanced_np4_t1.log
ash331,4,2,naive,NA,NA,NA,NA,results/ash331_naive_np4_t2.log
ash331,4,2,metis,NA,NA,NA,NA,results/ash331_metis_np4_t2.log
ash331,4,2,balanced,NA,NA,NA,NA,results/ash331_balanced_np4_t2.log
ash331,4,4,naive,NA,NA,NA,NA,results/ash331_naive_np4_t4.log
ash331,4,4,metis,NA,NA,NA,NA,results/ash331_metis_np4_t4.log
ash331,4,4,balanced,NA,NA,NA,NA,results/ash331_balanced_np4_t4.log
ash331,8,1,naive,NA,NA,NA,NA,results/ash331_naive_np8_t1.log
ash331,8,1,metis,NA,NA,NA,NA,results/ash331_metis_np8_t1.log
ash331,8,1,balanced,NA,NA,NA,NA,results/ash331_balanced_np8_t1.log
ash331,8,2,naive,NA,NA,NA,NA,results/ash331_naive_np8_t2.log
ash331,8,2,metis,NA,NA,NA,NA,results/ash331_metis_np8_t2.log
ash331,8,2,balanced,NA,NA,NA,NA,results/ash331_balanced_np8_t2.log
ash331,8,4,naive,NA,NA,NA,NA,results/ash331_naive_np8_t4.log
ash331,8,4,metis,NA,NA,NA,NA,results/ash331_metis_np8_t4.log
ash331,8,4,balanced,NA,NA,NA,NA,results/ash331_balanced_np8_t4.log
ash608,1,1,naive,0.000018,0.000012,0.000005,0.9780,results/ash608_naive_np1_t1.log
ash608,1,1,metis,NA,NA,NA,NA,results/ash608_metis_np1_t1.log
ash608,1,1,balanced,0.000062,0.000040,0.000003,0.3009,results/ash608_balanced_np1_t1.log
ash608,1,2,naive,0.000130,0.000125,0.000004,0.0970,results/ash608_naive_np1_t2.log
ash608,1,2,metis,NA,NA,NA,NA,results/ash608_metis_np1_t2.log
ash608,1,2,balanced,0.000255,0.000243,0.000002,0.0500,results/ash608_balanced_np1_t2.log
ash608,1,4,naive,0.000302,0.000297,0.000004,0.0409,results/ash608_naive_np1_t4.log
ash608,1,4,metis,NA,NA,NA,NA,results/ash608_metis_np1_t4.log
ash608,1,4,balanced,0.001045,0.001022,0.000004,0.0119,results/ash608_balanced_np1_t4.log
ash608,2,1,naive,0.000020,0.000009,0.000011,1.4176,results/ash608_naive_np2_t1.log
ash608,2,1,metis,0.000050,0.000031,0.000019,0.3931,results/ash608_metis_np2_t1.log
ash608,2,1,balanced,0.000062,0.000018,0.000017,0.6605,results/ash608_balanced_np2_t1.log
ash608,2,2,naive,0.000132,0.000119,0.000016,0.1021,results/ash608_naive_np2_t2.log
ash608,2,2,metis,0.000572,0.000361,0.000229,0.0337,results/ash608_metis_np2_t2.log
ash608,2,2,balanced,0.000194,0.000158,0.000015,0.0769,results/ash608_balanced_np2_t2.log
ash608,2,4,naive,0.000360,0.000342,0.000018,0.0355,results/ash608_naive_np2_t4.log
ash608,2,4,metis,0.000456,0.000441,0.000171,0.0276,results/ash608_metis_np2_t4.log
ash608,2,4,balanced,0.000466,0.000430,0.000067,0.0283,results/ash608_balanced_np2_t4.log
ash608,4,1,naive,NA,NA,NA,NA,results/ash608_naive_np4_t1.log
ash608,4,1,metis,NA,NA,NA,NA,results/ash608_metis_np4_t1.log
ash608,4,1,balanced,NA,NA,NA,NA,results/ash608_balanced_np4_t1.log
ash608,4,2,naive,NA,NA,NA,NA,results/ash608_naive_np4_t2.log
ash608,4,2,metis,NA,NA,NA,NA,results/ash608_metis_np4_t2.log
ash608,4,2,balanced,NA,NA,NA,NA,results/ash608_balanced_np4_t2.log
ash608,4,4,naive,NA,NA,NA,NA,results/ash608_naive_np4_t4.log
ash608,4,4,metis,NA,NA,NA,NA,results/ash608_metis_np4_t4.log
ash608,4,4,balanced,NA,NA,NA,NA,results/ash608_balanced_np4_t4.log
ash608,8,1,naive,NA,NA,NA,NA,results/ash608_naive_np8_t1.log
ash608,8,1,metis,NA,NA,NA,NA,results/ash608_metis_np8_t1.log
ash608,8,1,balanced,NA,NA,NA,NA,results/ash608_balanced_np8_t1.log
ash608,8,2,naive,NA,NA,NA,NA,results/ash608_naive_np8_t2.log
ash608,8,2,metis,NA,NA,NA,NA,results/ash608_metis_np8_t2.log
ash608,8,2,balanced,NA,NA,NA,NA,results/ash608_balanced_np8_t2.log
ash608,8,4,naive,NA,NA,NA,NA,results/ash608_naive_np8_t4.log
ash608,8,4,metis,NA,NA,NA,NA,results/ash608_metis_np8_t4.log
ash608,8,4,balanced,NA,NA,NA,NA,results/ash608_balanced_np8_t4.log
ash958,1,1,naive,0.000017,0.000012,0.000004,1.5596,results/ash958_naive_np1_t1.log
ash958,1,1,metis,NA,NA,NA,NA,results/ash958_metis_np1_t1.log
ash958,1,1,balanced,0.000039,0.000027,0.000002,0.7113,results/ash958_balanced_np1_t1.log
ash958,1,2,naive,0.000207,0.000201,0.000005,0.0951,results/ash958_naive_np1_t2.log
ash958,1,2,metis,NA,NA,NA,NA,results/ash958_metis_np1_t2.log
ash958,1,2,balanced,0.002238,0.002214,0.000003,0.0087,results/ash958_balanced_np1_t2.log
ash958,1,4,naive,0.000437,0.000431,0.000005,0.0445,results/ash958_naive_np1_t4.log
ash958,1,4,metis,NA,NA,NA,NA,results/ash958_metis_np1_t4.log
ash958,1,4,balanced,0.000978,0.000951,0.000005,0.0201,results/ash958_balanced_np1_t4.log
ash958,2,1,naive,0.000028,0.000012,0.000016,1.6109,results/ash958_naive_np2_t1.log
ash958,2,1,metis,0.000154,0.000014,0.000138,1.3326,results/ash958_metis_np2_t1.log
ash958,2,1,balanced,0.000062,0.000022,0.000016,0.8642,results/ash958_balanced_np2_t1.log
ash958,2,2,naive,0.000189,0.000169,0.000019,0.1136,results/ash958_naive_np2_t2.log
ash958,2,2,metis,0.000453,0.000280,0.000185,0.0683,results/ash958_metis_np2_t2.log
ash958,2,2,balanced,0.000222,0.000183,0.000016,0.1044,results/ash958_balanced_np2_t2.log
ash958,2,4,naive,0.000295,0.000277,0.000019,0.0692,results/ash958_naive_np2_t4.log
ash958,2,4,metis,0.000919,0.000637,0.000278,0.0301,results/ash958_metis_np2_t4.log
ash958,2,4,balanced,0.000499,0.000458,0.000015,0.0418,results/ash958_balanced_np2_t4.log
ash958,4,1,naive,NA,NA,NA,NA,results/ash958_naive_np4_t1.log
ash958,4,1,metis,NA,NA,NA,NA,results/ash958_metis_np4_t1.log
ash958,4,1,balanced,NA,NA,NA,NA,results/ash958_balanced_np4_t1.log
ash958,4,2,naive,NA,NA,NA,NA,results/ash958_naive_np4_t2.log
ash958,4,2,metis,NA,NA,NA,NA,results/ash958_metis_np4_t2.log
ash958,4,2,balanced,NA,NA,NA,NA,results/ash958_balanced_np4_t2.log
ash958,4,4,naive,NA,NA,NA,NA,results/ash958_naive_np4_t4.log
ash958,4,4,metis,NA,NA,NA,NA,results/ash958_metis_np4_t4.log
ash958,4,4,balanced,NA,NA,NA,NA,results/ash958_balanced_np4_t4.log
ash958,8,1,naive,NA,NA,NA,NA,results/ash958_naive_np8_t1.log
ash958,8,1,metis,NA,NA,NA,NA,results/ash958_metis_np8_t1.log
ash958,8,1,balanced,NA,NA,NA,NA,results/ash958_balanced_np8_t1.log
ash958,8,2,naive,NA,NA,NA,NA,results/ash958_naive_np8_t2.log
ash958,8,2,metis,NA,NA,NA,NA,results/ash958_metis_np8_t2.log
ash958,8,2,balanced,NA,NA,NA,NA,results/ash958_balanced_np8_t2.log
ash958,8,4,naive,NA,NA,NA,NA,results/ash958_naive_np8_t4.log
ash958,8,4,metis,NA,NA,NA,NA,results/ash958_metis_np8_t4.log
ash958,8,4,balanced,NA,NA,NA,NA,results/ash958_balanced_np8_t4.log
bcsstk01,1,1,naive,0.000015,0.000011,0.000003,0.3502,results/bcsstk01_naive_np1_t1.log
bcsstk01,1,1,metis,NA,NA,NA,NA,results/bcsstk01_metis_np1_t1.log
bcsstk01,1,1,balanced,0.000024,0.000016,0.000002,0.2552,results/bcsstk01_balanced_np1_t1.log
bcsstk01,1,2,naive,0.000137,0.000133,0.000004,0.0301,results/bcsstk01_naive_np1_t2.log
bcsstk01,1,2,metis,NA,NA,NA,NA,results/bcsstk01_metis_np1_t2.log
bcsstk01,1,2,balanced,0.000252,0.000243,0.000002,0.0165,results/bcsstk01_balanced_np1_t2.log
bcsstk01,1,4,naive,0.000262,0.000258,0.000004,0.0155,results/bcsstk01_naive_np1_t4.log
bcsstk01,1,4,metis,NA,NA,NA,NA,results/bcsstk01_metis_np1_t4.log
bcsstk01,1,4,balanced,0.000737,0.000725,0.000003,0.0055,results/bcsstk01_balanced_np1_t4.log
bcsstk01,2,1,naive,0.000023,0.000009,0.000013,0.4292,results/bcsstk01_naive_np2_t1.log
bcsstk01,2,1,metis,0.000022,0.000009,0.000011,0.4328,results/bcsstk01_metis_np2_t1.log
bcsstk01,2,1,balanced,0.000056,0.000013,0.000021,0.3183,results/bcsstk01_balanced_np2_t1.log
bcsstk01,2,2,naive,0.000139,0.000128,0.000015,0.0314,results/bcsstk01_naive_np2_t2.log
bcsstk01,2,2,metis,0.000412,0.000120,0.000294,0.0334,results/bcsstk01_metis_np2_t2.log
bcsstk01,2,2,balanced,0.000517,0.000436,0.000079,0.0092,results/bcsstk01_balanced_np2_t2.log
bcsstk01,2,4,naive,0.000717,0.000660,0.000290,0.0061,results/bcsstk01_naive_np2_t4.log
bcsstk01,2,4,metis,0.000909,0.000354,0.000553,0.0113,results/bcsstk01_metis_np2_t4.log
bcsstk01,2,4,balanced,0.000758,0.000623,0.000120,0.0064,results/bcsstk01_balanced_np2_t4.log
bcsstk01,4,1,naive,NA,NA,NA,NA,results/bcsstk01_naive_np4_t1.log
bcsstk01,4,1,metis,NA,NA,NA,NA,results/bcsstk01_metis_np4_t1.log
bcsstk01,4,1,balanced,NA,NA,NA,NA,results/bcsstk01_balanced_np4_t1.log
bcsstk01,4,2,naive,NA,NA,NA,NA,results/bcsstk01_naive_np4_t2.log
bcsstk01,4,2,metis,NA,NA,NA,NA,results/bcsstk01_metis_np4_t2.log
bcsstk01,4,2,balanced,NA,NA,NA,NA,results/bcsstk01_balanced_np4_t2.log
bcsstk01,4,4,naive,NA,NA,NA,NA,results/bcsstk01_naive_np4_t4.log
bcsstk01,4,4,metis,NA,NA,NA,NA,results/bcsstk01_metis_np4_t4.log
bcsstk01,4,4,balanced,NA,NA,NA,NA,results/bcsstk01_balanced_np4_t4.log
bcsstk01,8,1,naive,NA,NA,NA,NA,results/bcsstk01_naive_np8_t1.log
bcsstk01,8,1,metis,NA,NA,NA,NA,results/bcsstk01_metis_np8_t1.log
bcsstk01,8,1,balanced,NA,NA,NA,NA,results/bcsstk01_balanced_np8_t1.log
bcsstk01,8,2,naive,NA,NA,NA,NA,results/bcsstk01_naive_np8_t2.log
bcsstk01,8,2,metis,NA,NA,NA,NA,results/bcsstk01_metis_np8_t2.log
bcsstk01,8,2,balanced,NA,NA,NA,NA,results/bcsstk01_balanced_np8_t2.log
bcsstk01,8,4,naive,NA,NA,NA,NA,results/bcsstk01_naive_np8_t4.log
bcsstk01,8,4,metis,NA,NA,NA,NA,results/bcsstk01_metis_np8_t4.log
bcsstk01,8,4,balanced,NA,NA,NA,NA,results/bcsstk01_balanced_np8_t4.log
